label,text
Harrasment,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
Harrasment,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
Harrasment,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
Harrasment,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
Harrasment,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
Harrasment,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
Harrasment,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
Harrasment,""" &amp; you might not get ya bitch back &amp; thats that """
Harrasment,""" @rhythmixx_ :hobbies include: fighting Mariam""
bitch"
Harrasment,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
Harrasment,""" Murda Gang bitch its Gang Land """
Harrasment,""" So hoes that smoke are losers ? "" yea ... go on IG"
Harrasment,""" bad bitches is the only thing that i like """
Harrasment,""" bitch get up off me """
Harrasment,""" bitch nigga miss me with it """
Harrasment,""" bitch plz whatever """
Harrasment,""" bitch who do you love """
Harrasment,""" bitches get cut off everyday B """
Harrasment,""" black bottle &amp; a bad bitch """
Harrasment,""" broke bitch cant tell me nothing """
Harrasment,""" cancel that bitch like Nino """
Harrasment,""" cant you see these hoes wont change """
Harrasment,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
Harrasment,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
Harrasment,""" her pussy lips like Heaven doors "" &#128524;"
Harrasment,""" hoe what its hitting for """
Harrasment,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
Harrasment,""" i need a trippy bitch who fuck on Hennessy """
Harrasment,""" i spend my money how i want bitch its my business """
Harrasment,""" i txt my old bitch my new bitch pussy wetter """
Harrasment,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
Harrasment,""" if you aint bout that Murder Game pussy nigga shut up """
Harrasment,""" if you're toes ain't done you pussy stinks """
Harrasment,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
Harrasment,""" is that ya bitch """
Harrasment,""" it aint nothing to cut a bitch off """
Harrasment,""" jus meet son now he ya mane ass bitches "" #Shots"
Harrasment,""" lames crying over hoes thats tears of a clown """
