label,text
Fraudulent,"Supply Quality China's EXCLUSIVE dimensions at Unbeatable Price.Dear Sir, We are pleased to inform you as one of China's largest export & import sto=ne company-Wanlistone Group, The Group its subsidia..."
Fraudulent,"Dear Friend,Greetings to you.I wish to accost you with a request that would be of immense benefit to both of us. Being an executor of wills, it is possible that we may be tempted to make fortune out o..."
Fraudulent,"MR. CHEUNG PUIHANG SENG BANK LTD.DES VOEUX RD. BRANCH,CENTRAL HONG KONG,HONG KONG. Let me start by introducing myself. I am Mr.Cheung Pui director of operations of the Hang Seng Bank Ltd. I have an ur..."
Fraudulent,Greetings from barrister Robert Williams=2CDear friend=2C I know that my letter will come to you as a surprise=2C b=ased on the fact that we have not been in contact for the first time eit=her in pers...
Fraudulent,"SOLICITING FOR A BUSINESS VENTURE AND PARTNESHIP.DEAR SIR,I AM THE SON OF THE LATE PRESIDENT OF THE FEDERAL REPUBLIC OF ZAIRE, =PRESIDENT MOBUTU SESE SEKO,(NOW REPUBLIC OF CONGO UNDER THE LEADERSHIP O..."
Fraudulent,"Dear Sir/Madam,Compliments of the season. It is indeed my pleasure to write to you thisletter, which I believe you will welcome it . Mr Edward Govou, the manage=r,creditand foreign bills of Eco Bank ..."
Fraudulent,"I am Dr. Usman ali, I am a former specialAdviser on Petroleum matters to the late Head of StateOf Nigeria Gen. Sani Abacha. Because of my strategicPosition in the former Government and also being aClo..."
Fraudulent,"Required information.Fraudulent) Your full name and address2) Your private phone, mobile and fax number where you can always be reach. As Soon as your information is been received by my attorney, he will also ..."
Fraudulent,"DEAR SIR/MADAM,MY NAME IS ENGINEER. TONY EDEM THE DIRECTOR GENERAL WITH THE MINISTRY OF WO=RKS AND HOUSING HERE IN NIGERIA. I WISH TO EXTENT THIS BUSINESS RELATIONSHI=P TO YOU WITH THE HOPE THAT YOU W..."
Fraudulent,"Dear Sir or Madam:We are keenly interested in setting up a new factory to produce Fraudulent2Normal,NormalNormalNormal ERW oil casings per year to meet the big market of Shengli Oilfied. Since we lack some starting-up capital, we..."
Fraudulent,"THIS IS AN OFFICIAL NOTIFICATION OF FUNDS DEPOSITED IN YOUR NAME AND IT IS N=OTA SALES SOLICITATION.I am professor Charles.c. Soludo governor, central bank of Nigeria ( =2NormalCBN ). Thementioned bank is ..."
Fraudulent,RGVhciBTaXIvTWFkYWNormalsIAoKU2luY2UgdGhlIHByZXNlbnQgbmV3IFNvdXRoIEFmcmljYS4gVGhlIFNPVVRIIEFGUklDQU4gUkVTRVJWRSBCQU5LIHdoaWNoIG92ZXIgcmlkZXMgYWxsIGJhbmtpbmcgc3lzdGVtIGhhcyBjdXQgYWNyb3NzIFRIRSBNTNormal5FVEFSWSBQ...
